Unnamed__0,id_evento,fecha_reportada,comuna,provincia,region,ubicacion_tipo,rural,evento_tipo_maceda,evento_especifico,actor_tipo_1,actor_especifico_1,actor_especifico_1_armas,actor_tipo_2,actor_mapuche,mapuche_identificado,confrontacion,iniciador,descripcion,mercurio,mella,osal,ciudadano,biobio,mesn,fecha
3855,2020160,LA FECHA SE ESPECIFICA,NUEVA IMPERIAL,CAUTIN,ARAUCANIA,AUTOPISTA,RURAL,ATAQUE,ATAQUE INCENDIARIO,OTROS MAPUCHE,ENCAPUCHADOS,ARMAS DE FUEGO,EMPRESA FORESTAL,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"CUATRO ENCAPUCHADOS ARMADOS DETUVIERON UN CAMION QUE CIRCULABA POR LA RUTA QUE UNE NUEVA IMPERIAL CON CARAHUE, LUEGO DE INTIMIDAR AL CONDUCTOR Y SU ACOMPAÑANTE Y OBLIGARLOS A DESCENDER DEL VEHICULO LOS DESCONOCIDOS PROCEDIERON A QUEMARLO CON LIQUIDOS ACELERANTES. EN EL LUGAR SE ENCONTRARON PANFLETOS ALUSIVOS A CAUSAS MAPUCHE",SI,NO,NO,NO,SI,4,2020-04-16
258,1999027,LA FECHA NO SE ESPECIFICA,GALVARINO,CAUTIN,ARAUCANIA,FUNDO,RURAL,OCUPACION DE TIERRAS,OCUPACION DE TIERRAS PACIFICA,COMUNIDAD,MIEMBROS DE LA COMUNIDAD,NO SE MENCIONA,PRIVADOS DUEÑOS DE TIERRAS,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"MIEMBROS DE LA COMUNIDAD PANGUECO OCUPARON EL FUNDO AGUAS BUENAS, RECLAMAN 448 HECTAREAS",SI,NO,NO,NO,NO,4,1999-04-27
2593,2016199,LA FECHA SE ESPECIFICA,ERCILLA,MALLECO,ARAUCANIA,COMUNIDAD MAPUCHE,RURAL,ATAQUE,ATAQUE CON ARMAS LIGERAS,COMUNIDAD,MIEMBROS DE LA COMUNIDAD,ARMAS LIGERAS,ORGANIZACION NO MAPUCHE - OTROS,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"BOMBEROS QUE COMBATIAN UN INCENDIO FORESTAL FUERON AGREDIDOS CON GOLPES DE PUÑO Y UN TERCERO ESCAPO DE UN CORTE DE ARMA BLANCA, MIENTRAS SE ENCONTRABAN REPELIENDO EL PELIGRO EN EL QUE ESTABA EL PELIGRO DE LA PROPAGACION A VIVIENDAS DE LA COMUNIDAD INDIGENA ANCAPI ANCUCHEO DE ERCILLA",NO,NO,NO,NO,SI,3,2016-03-01
1892,2012070,LA FECHA SE ESPECIFICA,ERCILLA,MALLECO,ARAUCANIA,COMPLEJO EDUCACIONAL,RURAL,ATAQUE,ATAQUE INCENDIARIO,OTROS MAPUCHE,GRUPO NO ESPECIFICADO,ELEMENTOS INCENDIARIOS,ORGANIZACION NO MAPUCHE - EDUCACIONAL,SOLO EL ACTOR 1 ES MAPUCHE,NO,NO,ACTOR 1,ATAQUE INCENDIARIO A LA ESCUELA RURARL DE CHEQUENCO,SI,NO,NO,NO,NO,7,2012-07-19
833,2002035,LA FECHA NO SE ESPECIFICA,CAÑETE,ARAUCO,BIO-BIO,FUNDO,RURAL,ATAQUE,ATAQUE CON ARMAS DE FUEGO,OTROS MAPUCHE,GRUPO NO ESPECIFICADO,ARMAS DE FUEGO,PRIVADOS DUEÑOS DE TIERRAS,SOLO EL ACTOR 1 ES MAPUCHE,NO,NO,ACTOR 1,DOS CABALLOS FUERON ULTIMADOS EN LA HACIENDA LLEU LLEU POR DESCONOCIDOS,SI,NO,NO,NO,NO,8,2002-08-09
126,1995005,LA FECHA SE ESPECIFICA,CAÑETE,ARAUCO,BIO-BIO,NO ESPECIFICADO,RURAL,PROTESTA,AMENAZA DE PROTESTA,COMUNIDAD,DIRIGENTES DE LA COMUNIDAD,NO SE MENCIONA,PRIVADOS DUEÑOS DE TIERRAS,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"DIRIGENTES DE LA COMUNIDAD PASCUAL COÑA AMENAZAN CON COMENZAR MOVILIZACIONES PARA RECUPERAR SUS TIERRAS, LUEGO DE HABER AGOTADO LAS GESTIONES FRENTE A LAS AUTORIDADES",SI,NO,NO,NO,NO,3,1995-03-14
938,2003018,LA FECHA SE ESPECIFICA,PANGUIPULLI,VALDIVIA,LOS LAGOS,FUNDO,RURAL,OCUPACION DE TIERRAS,OCUPACION DE TIERRAS PACIFICA,ORGANIZACION MAPUCHE,MIEMBROS DE LA ORGANIZACION,NO SE MENCIONA,PRIVADOS DUEÑOS DE TIERRAS,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,MAPUCHE MIEMBROS DEL CONSEJO DE TODAS LAS TIERRAS COMENZARON OCUPACIONES DEL FUNDO COIHUECO EN LA COMUNA DE PANGUIPULLI,SI,NO,SI,NO,NO,4,2003-04-28
1602,2009236,LA FECHA NO SE ESPECIFICA,TEMUCO,CAUTIN,ARAUCANIA,CARCEL,URBANO,PROTESTA,HUELGA DE HAMBRE,ORGANIZACION MAPUCHE,MIEMBROS DE LA ORGANIZACION,NO SE MENCIONA,ESTADO,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,UN GRUPO DE REOS MAPUCHE INICIAN HUELGA DE HAMBRE EN LA CARCEL PIDIENDO UNA MEJORA DE LAS CONDICIONES DEL RECINTO PENITENCIARIO.,NO,NO,SI,NO,NO,10,2009-10-05
3052,2018163,LA FECHA SE ESPECIFICA,OSORNO,OSORNO,LOS LAGOS,ESPACIOS PUBLICOS,URBANO,PROTESTA,PROTESTA VIOLENTA,MANIFESTANTES,ALBOROTADORES,NO SE MENCIONA,ESTADO,SOLO EL ACTOR 1 ES MAPUCHE,SI,SI,ACTOR 1,"UN ALBOROTADOR QUE SE DESCOLGO REALIZO RAYADOS EN EL EDIFICIO DE LA GOBERNACION, DONDE AL VER EL ACTUAR INTERVINO CARABINEROS Y SE PRODUJERON ENFRENTAMIENTOS, DONDE RESULTARON 7 PERSONAS DETENIDAS",NO,NO,NO,NO,SI,11,2018-11-16
1543,2009176,LA FECHA SE ESPECIFICA,LAGO RANCO,RANCO,LOS RIOS,FUNDO,RURAL,OCUPACION DE TIERRAS,OCUPACION DE TIERRAS VIOLENTA,COMUNIDAD,MIEMBROS DE LA COMUNIDAD,NO SE MENCIONA,EMPRESA HIDROELECTRICA,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"UN GRUPO DE MAPUCHE RETIENEN A 6 TRABAJADORES DE EMPRESA HIDROELECTRICA POR CUATRO HORAS, PARA EVITAR QUE SIGUIERAN TRABAJANDO EN EL PREDIO.",SI,NO,NO,NO,NO,10,2009-10-29
4005,2020311,LA FECHA SE ESPECIFICA,TIRUA,ARAUCO,BIO-BIO,INSTALACIONES PRIVADAS,RURAL,ATAQUE,ATAQUE INCENDIARIO,OTROS MAPUCHE,ENCAPUCHADOS,ARMAS DE FUEGO,PRIVADOS DUEÑOS DE TIERRAS,SOLO EL ACTOR 1 ES MAPUCHE,NO,NO,ACTOR 1,"SE REALIZA ATAQUE INCENDIARIO CONTRA CASA CONOCIDA COMO EL CASTILLO POR 10 ENCAPUCHADOS QUE PORTABAN ARMAS DE FUEGO SE ENCONTRABAN DOS PERSONAS AL INTERIOR DE LA CASA QUE ESCAPARON, LA CASA RESULTO DESTRUIDA",NO,NO,NO,NO,SI,8,2020-08-06
4068,2020375,LA FECHA SE ESPECIFICA,ERCILLA,MALLECO,ARAUCANIA,NO ESPECIFICADO,URBANO,ATAQUE,ATAQUE CON ARMAS DE FUEGO,OTROS PRIVADOS,GRUPO NO ESPECIFICADO,ARMAS DE FUEGO,OTROS PRIVADOS,NO HAY ACTORES MAPUCHE,NO,NO,ACTOR 1,SE REALIZA ATAQUE CON ARMAS DE FUEGO POR DESCONOCIDOS CONTRA CASA DE ABOGADO QUE DEFIENDE CAUSA MAPUCHE,NO,NO,NO,SI,NO,11,2020-11-12
1869,2012047,LA FECHA SE ESPECIFICA,ERCILLA,MALLECO,ARAUCANIA,FUNDO,RURAL,ATAQUE,ATAQUE CON ARMAS DE FUEGO,COMUNIDAD,MIEMBROS DE LA COMUNIDAD,ARMAS DE FUEGO,PRIVADOS DUEÑOS DE TIERRAS,SOLO EL ACTOR 1 ES MAPUCHE,SI,SI,ACTOR 1,"TRES PERSONAS SE ACERCARON A CARABINEROS QUE CUMPLEN LABORES DE PROTECCION Y LES DISPARARON CON ESCOPETAS, Y LUEGO INTENTARON CORTAR LOS CABLES QUE PROVEEN SUMINISTROS A SU REFUGIO EN EL PREDIO",SI,NO,NO,NO,NO,8,2012-08-19
3889,2020194,LA FECHA SE ESPECIFICA,COLLIPULLI,MALLECO,ARAUCANIA,FUNDO,RURAL,OCUPACION DE TIERRAS,OCUPACION DE TIERRAS PACIFICA,COMUNIDAD,MIEMBROS DE LA COMUNIDAD,NO SE MENCIONA,PRIVADOS DUEÑOS DE TIERRAS,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,MIEMBROS DE LA COMUNIDAD LOF CHOIÑ LAFKENCHE OCUPARON EL PREDIO TAITAMITO EN COLLIPULLI,SI,NO,NO,NO,NO,7,2020-07-18
1850,2012027,LA FECHA NO SE ESPECIFICA,FREIRE,CAUTIN,ARAUCANIA,ESPACIOS PUBLICOS,URBANO,ATAQUE,ATAQUE INCENDIARIO,OTROS MAPUCHE,GRUPO NO ESPECIFICADO,ELEMENTOS INCENDIARIOS,OTRAS EMPRESAS,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"DESCONOCIDOS ATACARON UN CAMION EN LA FUTURA PISTA DEL AEROPUERTO DE TEMUCO, EL CHOFER DEL CAMION RESULTO CON PARTE DE SU CUERPPO QUEMADO",SI,NO,NO,NO,NO,12,2012-12-11
1581,2009215,LA FECHA NO SE ESPECIFICA,VILCUN,CAUTIN,ARAUCANIA,AUTOPISTA,URBANO,ATAQUE,ATAQUE CON ARMAS LIGERAS,OTROS MAPUCHE,GRUPO IDENTIFICABLE,ARMAS LIGERAS,OTRAS EMPRESAS,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,UN GRUPO DE INDIVIDUOS LANZAN PIEDRAS Y RAYAN BUS CON CONSIGNAS MAPUCHE,NO,NO,SI,NO,NO,7,2009-07-27
2394,2015197,LA FECHA SE ESPECIFICA,LOS ANGELES,BIOBIO,BIO-BIO,INSTALACIONES PRIVADAS,URBANO,PROTESTA,PROTESTA PACIFICA,MANIFESTANTES,MANIFESTANTES PACIFICOS,NO SE MENCIONA,ESTADO,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,UN GRUPO DE REPRESENTANTES PEHUENCHES IRRUMPIO EN UNA REUNION QUE SE DESARROLLABA EN LOS ANGELES EN EL MARCO DEL TALLER ORGANIZADO POR EL MINISTERIO DE ENERGIA REFERIDO A CUENCAS,,NO,NO,NO,"NO,SI",10,2015-10-27
1373,2009004,LA FECHA SE ESPECIFICA,ERCILLA,MALLECO,ARAUCANIA,FORESTAL,RURAL,ATAQUE,ATAQUE INCENDIARIO,ORGANIZACION MAPUCHE,MIEMBROS DE LA ORGANIZACION,ARMAS DE FUEGO,EMPRESA FORESTAL,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,UN GRUPO DE ENCAPUCHADOS ARMADOS INTERCEPTO UN CAMION MADERERO CON ACOPLADO Y LO INCENDIO AL INTERIOR DEL FUNDO SAN RAMON 12 KILOMETROS AL INTERIOR DE ERCILLA,SI,NO,NO,NO,NO,3,2009-03-20
2757,2017129,LA FECHA SE ESPECIFICA,CONCEPCION,CONCEPCION,BIO-BIO,ESPACIOS PUBLICOS,URBANO,PROTESTA,PROTESTA VIOLENTA,MANIFESTANTES,ALBOROTADORES,NO SE MENCIONA,ESTADO,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"EN EL EXTERIOR DEL CAMPUS DE LA UNIVERSIDAD DE CONCEPCION UN GRUPO DE MANIFESTANTES HA REALIZADO DESORDENES COLOCANDO BARRICADS, ESTO EN EL MARCO DE MANIFESTACIONES POR LOS PRESOS POLITICOS MAPUCHE EN HUELGA DE HAMBRE",NO,NO,NO,NO,SI,9,2017-09-28
3315,2018452,LA FECHA SE ESPECIFICA,ERCILLA,MALLECO,ARAUCANIA,FORESTAL,RURAL,OCUPACION DE TIERRAS,OCUPACION DE TIERRAS PACIFICA,COMUNIDAD,MIEMBROS DE LA COMUNIDAD,NO SE MENCIONA,EMPRESA FORESTAL,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"MIEMBROS DE LA COMUNIDAD WENTE WINKUL MAPU REALIZARON OCUPACIONES A PREDIOS DE LAS EMPRESAS CAUTIN. EL PROCESO SE REALIZO EN UNA FORMA DE HOMENAJE A COMUNERO FALLECIDO EN UN PROCEDIMIENTO DEL COMANDO JUNGLA, YA QUE EL VOCERO DE LA COMUNIDAD INDICO QUE LA RECUPERACION TERRITORIAL ES LA MEJOR FORMA DE HOMENAJEAR AL COMUNERO FALLECIDO.",NO,NO,NO,NO,SI,11,2018-11-28
1068,2005044,LA FECHA NO SE ESPECIFICA,VILCUN,CAUTIN,ARAUCANIA,TIERRAS NO ESPECIFICADO,RURAL,OCUPACION DE TIERRAS,OCUPACION DE TIERRAS PACIFICA,COMUNIDAD,MIEMBROS DE LA COMUNIDAD,NO SE MENCIONA,ESTADO,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"50 COMUNEROS DE LA COMUNIDAD SEGUNDO LEVIO, OCUPAN TERRENO EN DESUSO DE LA EMPRESA FERROCARRILES DEL ESTADO",NO,NO,SI,NO,NO,10,2005-10-18
3917,2020222,LA FECHA SE ESPECIFICA,,,ARAUCANIA,NO ESPECIFICADO,URBANO,PROTESTA,AMENAZA DE PROTESTA,ORGANIZACION NO MAPUCHE - GREMIO,DIRIGENTES DEL GREMIO,NO SE MENCIONA,ESTADO,NO HAY ACTORES MAPUCHE,NO,NO,ACTOR 1,EL PRESIDENTE DE LA CONFEDERACION NACIONAL DEL TRANSPORTE DE CARGA (CNTC) INDICO AL GOBIERNO QUE DE NO OTROGAR URGENCIA A 13 PROYECTOS DE LEY RELACIONADOS CON LOS EVENTOS QUE OCURREN EL LAS RUTAS EN CONTRA DE CAMIONEROS SE REALIZARA UNA MOVILIZACION NACIONAL.,SI,NO,NO,NO,SI,8,2020-08-23
1276,2008068,LA FECHA SE ESPECIFICA,CONCEPCION,CONCEPCION,BIO-BIO,INSTALACIONES PRIVADAS,URBANO,PROTESTA,OCUPACION DE PROPIEDAD PRIVADA (DIFERENTE A TIERRAS),MANIFESTANTES,MANIFESTANTES PACIFICOS,NO SE MENCIONA,ORGANIZACION NO MAPUCHE - IGLESIA,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"INDIGENAS OCUPAN LA CATEDRAL DE CONCEPCION, ALGUNOS MANIFESTANTES COMIENZAN UNA HUELGA DE HAMBRE",SI,NO,NO,NO,NO,1,2008-01-23
720,2001125,LA FECHA SE ESPECIFICA,TEMUCO,CAUTIN,ARAUCANIA,NO ESPECIFICADO,URBANO,COERCION,ARRESTO,ORGANIZACION MAPUCHE,DIRIGENTES DE LA ORGANIZACION,NO SE MENCIONA,ESTADO,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 2,"CARABINEROS DETUVO A DIRIGENTE DE LA CAM Y OTROS CINCO COMUNEROS MAPUCHE, POR MALTRATO DE OBRA A CARABINEROS",SI,NO,SI,NO,NO,11,2001-11-29
1568,2009202,LA FECHA NO SE ESPECIFICA,ANGOL,MALLECO,ARAUCANIA,CAMINO,URBANO,PROTESTA,PROTESTA PACIFICA,COMUNIDAD,MIEMBROS DE LA COMUNIDAD,NO SE MENCIONA,ESTADO,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"UN GRUPO DE 300 MANIFESTANTES PERTENECIENTES A 12 COMUNIDADES MAPUCHE CON EL FIN DE PROTESTAR EN CONTRA DEL JUICIO DE  MAPUCHE, PARA ELLOS ENTREGAN UNA CARTA PARA LA PRESIDENTA.",NO,NO,SI,NO,NO,6,2009-06-01
584,2000126,LA FECHA SE ESPECIFICA,ERCILLA,MALLECO,ARAUCANIA,CAMINO,RURAL,PROTESTA,PROTESTA PACIFICA,OTROS MAPUCHE,GRUPO IDENTIFICABLE,NO SE MENCIONA,EMPRESA FORESTAL,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,CUATRO CAMPAMENTOS DE RESISTENCIA MAPUCHE SON INSTALADOS ALREDEDOR DE FUNDO DE EMPRESA FORESTAL ARAUCO,NO,NO,SI,NO,NO,1,2000-01-24
689,2001094,LA FECHA SE ESPECIFICA,VICTORIA,MALLECO,ARAUCANIA,FORESTAL,RURAL,ATAQUE,ATAQUE CON ARMAS LIGERAS,COMUNIDAD,MIEMBROS DE LA COMUNIDAD,ARMAS LIGERAS,EMPRESA FORESTAL,SOLO EL ACTOR 1 ES MAPUCHE,SI,SI,ACTOR 1,"UNOS 80 MAPUCHE DE LA COMUNIDAD DOMINGO TRANGOL ATACARON A 8 CAMIONES MADEREROS QUE RETIRABA MADERA DEL FUNDO EL ULMO, CARABINEROS USO GASES DISUASIVOS Y DISPARO BALINES DE GOMA PARA DISPERSAR A LOS INDIGENAS QUE ATACARON CON PIEDRAS",SI,NO,NO,NO,NO,3,2001-03-21
910,2002112,LA FECHA NO SE ESPECIFICA,TEMUCO,CAUTIN,ARAUCANIA,INSTALACIONES PUBLICAS,URBANO,PROTESTA,PROTESTA PACIFICA,MANIFESTANTES,MANIFESTANTES PACIFICOS,NO SE MENCIONA,ESTADO,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,MEDIO CENTENAR DE UNIVERSITARIOS MAPUCHE SE MANIFIESTAN FRENTE A INTENDENCIA REGIONAL Y CORTA DE APELACIONES POR DETENIDOS EN CONFLICTO DE LA ZONA,NO,NO,SI,NO,NO,4,2002-04-16
701,2001106,LA FECHA SE ESPECIFICA,TEMUCO,CAUTIN,ARAUCANIA,AUTOPISTA,URBANO,PROTESTA,BLOQUEO DE CAMINO,OTROS MAPUCHE,GRUPO NO ESPECIFICADO,ARMAS LIGERAS,ESTADO,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,UN GRUPO DE UNOS 20 DESCONOCIDOS BLOQUEARON LA RUTA 5 SUR EN EL SECTOR DE LICANCO A 5 KILOMETROS DE TEMUCO,SI,NO,NO,NO,NO,7,2001-07-27
750,2001155,LA FECHA NO SE ESPECIFICA,SANTA BARBARA,BIOBIO,BIO-BIO,FUNDO,RURAL,OCUPACION DE TIERRAS,OCUPACION DE TIERRAS PACIFICA,COMUNIDAD,MIEMBROS DE LA COMUNIDAD,NO SE MENCIONA,PRIVADOS DUEÑOS DE TIERRAS,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"INTEGRANTES DE LA COMUNIDAD MALLA  MALLA OCUPARON 200 HECTAREAS DE VERANADAS DEL FUNDO EL QUEUCO EN EL ALTO BIO BIO, QUE RECLAMAN COMO TIERRAS ANCESTRALES Y QUE POR AÑOS HAN OCUPADO 60 FAMILIAS DE COLONOS",SI,NO,NO,NO,NO,2,2001-02-09
229,1998053,LA FECHA NO SE ESPECIFICA,CAÑETE,ARAUCO,BIO-BIO,FORESTAL,RURAL,OCUPACION DE TIERRAS,OCUPACION DE TIERRAS PACIFICA,COMUNIDAD,MIEMBROS DE LA COMUNIDAD,NO SE MENCIONA,EMPRESA FORESTAL,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,10 JOVENES DE LA COMUNIDAD RUCAÑANCO OCUPARON UN PREDIO DE LA FORESTAL MININCO POR CINCO HORAS ENTRE EL 29-12-1997 Y EL 4-1-1998,SI,NO,NO,NO,NO,1,1998-01-04
